neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
�تمان,دقایقی پیش در تهران، ونک,https://divar.ir/v/-/QZgNHimH
پونک,۶۲,۱۳۸۷,۱,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۸۲٬۲۵۸٬۰۰۰ تومان,۱ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، پونک,https://divar.ir/v/-/QZwxA_vZ
هروی,۶۵,۱۳۹۵,۱,,,۴,آسانسور,پارکینگ,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، هروی,https://divar.ir/v/-/QZzJvdy0
,۷۵,۱۳۸۹,۲,۲٬۰۷۵٬۰۰۰٬۰۰۰ تومان,۲۷٬۶۶۶٬۰۰۰ تومان,۱ از ۴,آسانسور ندارد,پارکینگ,انباری ندارد,پردیس,فروش آپارتمان,دقایقی پیش در پردیس,https://divar.ir/v/-/QZuFwzzE
شهرک نفت (منطقه ۵),۶۰,۱۳۸۳,۲,۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۸۱٬۶۶۶٬۰۰۰ تومان,۱ از ۴,آسانسور ندارد,پارکینگ,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، شهرک نفت (منطقه ۵),https://divar.ir/v/-/QZYNaiSr
توحید,۶۵,۱۳۷۷,۱,۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۴۶۱٬۰۰۰ تومان,زیرهمکف از ۴,آسانسور ندارد,پارکینگ ندارد,انباری,تهران,فروش آپارتمان,دقایقی پیش در تهران، توحید,https://divar.ir/v/-/QZzJPlsF
