neighborhood,area,year,room,deposit,rent,floor,elavator,parking,warehouse,city,post_type,post_time,link
,,قدس,فروش مغازه و غرفه,دقایقی پیش در قدس,https://divar.ir/v/-/QZugG2QG
دریاچه شهدای خلیج فارس,,,,,,,,,,تهران,پیش‌فروش ملک,,https://divar.ir/v/-/QZzVP6-s
,۷۸,۱۳۹۷,۲,۱٬۰۷۰٬۰۰۰٬۰۰۰ تومان,۱۳٬۷۱۷٬۰۰۰ تومان,۳,آسانسور,پارکینگ,انباری,صفادشت,فروش آپارتمان,دقایقی پیش در صفادشت,https://divar.ir/v/-/QZzVvmdO
,,,,۵۸۰٬۰۰۰٬۰۰۰ تومان,۲٬۶۳۶٬۰۰۰ تومان,,,,,صفادشت,فروش زمین و کلنگی,دقایقی پیش در صفادشت,https://divar.ir/v/-/QZxpszhI
سعادت‌آباد,۱۱۵,۱۳۸۰,۲,,,۱,آسانسور ندارد,پارکینگ ندارد,انباری,تهران,اجارهٔ آپارتمان,دقایقی پیش در تهران، سعادت‌آباد,https://divar.ir/v/-/QZhhIXaK
شهرک راه‌آهن,,,,توافقی,,,,,,تهران,فروش زمین و کلنگی,دقایقی پیش در تهران، شهرک راه‌آهن,https://divar.ir/v/-/QZlcijq2
